t,status,heading,cardinal_direction,x_raw,y_raw,z_raw
0.0026,OK,276.29,W,96,-1408,4
0.0681,OK,277.35,W,87,-1409,5
0.1331,OK,278.09,W,87,-1409,5
0.1981,OK,279.19,W,96,-1412,12
0.2628,OK,279.96,W,96,-1412,12
0.3280,OK,279.02,W,101,-1409,4
0.3926,OK,277.25,W,101,-1406,7
0.4572,OK,276.01,W,101,-1406,7
0.5218,OK,272.17,W,101,-1398,15
0.5864,OK,273.50,W,94,-1408,1
0.6510,OK,274.43,W,94,-1408,1
0.7156,OK,274.04,W,101,-1406,-1
0.7802,OK,273.76,W,101,-1406,-1
0.8451,OK,269.28,W,93,-1396,6
0.9103,OK,266.87,W,78,-1400,4
0.9750,OK,265.18,W,78,-1400,4
1.0401,OK,264.21,W,66,-1402,8
1.1048,OK,249.18,WSW,62,-1393,1
1.1694,OK,238.25,WSW,62,-1393,1
1.2340,OK,229.10,SW,66,-1383,-6
1.2986,OK,222.61,SW,66,-1383,-6
1.3632,OK,211.07,SSW,57,-1377,1
1.4283,OK,191.65,SSW,30,-1372,2
1.4932,OK,176.99,S,30,-1372,2
1.5579,OK,161.96,SSE,19,-1378,-4
1.6226,OK,147.96,SSE,9,-1383,-2
1.6872,OK,137.84,SE,9,-1383,-2
1.7518,OK,131.83,SE,-4,-1372,4
1.8164,OK,127.61,SE,-4,-1372,4
1.8809,OK,126.80,SE,-12,-1356,5
1.9455,OK,125.37,SE,-23,-1354,-7
2.0100,OK,124.36,SE,-23,-1354,-7
2.0746,OK,126.57,SE,-24,-1332,7
2.1395,OK,128.48,SE,-25,-1328,-13
2.2042,OK,129.81,SE,-25,-1328,-13
2.2688,OK,132.01,SE,-25,-1316,-6
2.3334,OK,133.55,SE,-25,-1316,-6
2.3980,OK,134.67,SE,-32,-1308,1
2.4625,OK,136.11,SE,-39,-1292,-1
2.5271,OK,137.12,SE,-39,-1292,-1
2.5917,OK,138.60,SE,-37,-1284,-7
2.6563,OK,139.63,SE,-37,-1284,-7
2.7212,OK,140.30,SE,-43,-1277,-10
2.7858,OK,139.33,SE,-63,-1275,-22
2.8521,OK,138.66,SE,-63,-1275,-22
2.9167,OK,139.08,SE,-62,-1262,-22
2.9813,OK,139.88,SE,-63,-1252,-22
3.0460,OK,140.44,SE,-63,-1252,-22
3.1105,OK,140.33,SE,-76,-1245,-35
3.1752,OK,140.26,SE,-76,-1245,-35
3.2398,OK,142.11,SE,-62,-1225,-25
3.3047,OK,144.12,SE,-60,-1211,-17
3.3693,OK,145.53,SE,-60,-1211,-17
3.4338,OK,146.56,SSE,-63,-1205,-25
3.4984,OK,145.85,SE,-83,-1210,-36
3.5631,OK,145.35,SE,-83,-1210,-36
3.6278,OK,146.60,SSE,-65,-1197,-38
3.6923,OK,147.48,SSE,-65,-1197,-38
3.7568,OK,147.92,SSE,-72,-1190,-47
3.8214,OK,148.12,SSE,-78,-1183,-43
3.8859,OK,148.27,SSE,-78,-1183,-43
3.9507,OK,148.55,SSE,-79,-1176,-49
4.0154,OK,149.94,SSE,-69,-1155,-53
4.0800,OK,150.92,SSE,-69,-1155,-53
4.1445,OK,152.11,SSE,-66,-1142,-48
4.2092,OK,152.95,SSE,-66,-1142,-48
4.2737,OK,154.44,SSE,-57,-1124,-55
4.3381,OK,156.39,SSE,-44,-1113,-49
4.4027,OK,157.76,SSE,-44,-1113,-49
4.4672,OK,158.37,SSE,-52,-1109,-56
4.5320,OK,158.62,SSE,-58,-1102,-64
4.5967,OK,158.80,SSE,-58,-1102,-64
4.6612,OK,158.84,SSE,-62,-1096,-52
4.7257,OK,158.87,SSE,-62,-1096,-52
4.7902,OK,159.13,SSE,-60,-1088,-56
4.8547,OK,159.65,SSE,-54,-1085,-64
4.9200,OK,160.02,SSE,-54,-1085,-64
4.9846,OK,160.54,SSE,-53,-1072,-84
5.0492,OK,161.21,SSE,-48,-1067,-74
5.1148,OK,161.68,SSE,-48,-1067,-74
5.1794,OK,162.25,SSE,-46,-1056,-77
5.2440,OK,162.65,SSE,-46,-1056,-77
5.3098,OK,163.21,SSE,-43,-1045,-75
5.3762,OK,164.74,SSE,-22,-1026,-78
5.4420,OK,165.81,SSE,-22,-1026,-78
5.5068,OK,166.68,SSE,-21,-1017,-83
5.5713,OK,167.65,SSE,-14,-1009,-85
5.6359,OK,168.34,SSE,-14,-1009,-85
5.7012,OK,168.94,S,-12,-1004,-79
5.7659,OK,169.35,S,-12,-1004,-79
5.8306,OK,169.55,S,-15,-1000,-79
5.8954,OK,169.84,S,-10,-1008,-103
5.9600,OK,170.05,S,-10,-1008,-103
6.0245,OK,170.56,S,-2,-1003,-89
6.0892,OK,171.33,S,7,-998,-79
6.1538,OK,171.87,S,7,-998,-79
6.2184,OK,172.41,S,10,-990,-85
6.2830,OK,172.79,S,10,-990,-85
6.3477,OK,173.57,S,22,-984,-91
6.4122,OK,173.98,S,18,-977,-106
6.4768,OK,174.27,S,18,-977,-106
6.5415,OK,175.93,S,54,-970,-107
6.6062,OK,177.09,S,54,-970,-107
6.6708,OK,178.54,S,70,-971,-106
6.7355,OK,179.79,S,76,-968,-86
6.8001,OK,180.67,S,76,-968,-86
6.8647,OK,181.60,S,84,-967,-98
6.9295,OK,182.21,S,83,-969,-84
6.9942,OK,182.65,S,83,-969,-84
7.0587,OK,182.85,S,80,-977,-92
7.1235,OK,182.99,S,80,-977,-92
7.1881,OK,183.75,S,96,-983,-92
7.2527,OK,184.80,S,109,-979,-87
7.3174,OK,185.53,S,109,-979,-87
7.3820,OK,186.32,S,116,-978,-103
7.4466,OK,187.48,S,131,-980,-98
7.5114,OK,188.29,S,131,-980,-98
7.5760,OK,189.59,S,150,-978,-94
7.6405,OK,190.50,S,150,-978,-94
7.7051,OK,191.91,SSW,171,-975,-85
7.7697,OK,193.40,SSW,181,-986,-108
7.8345,OK,194.44,SSW,181,-986,-108
7.8992,OK,195.50,SSW,188,-992,-90
7.9638,OK,196.44,SSW,193,-992,-81
8.0285,OK,197.09,SSW,193,-992,-81
8.0932,OK,198.03,SSW,201,-1005,-81
8.1580,OK,198.68,SSW,201,-1005,-81
8.2228,OK,199.29,SSW,206,-1002,-81
8.2891,OK,199.90,SSW,206,-1015,-67
8.3540,OK,200.33,SSW,206,-1015,-67
8.4186,OK,201.31,SSW,223,-1017,-69
8.4832,OK,202.68,SSW,238,-1024,-69
8.5477,OK,203.64,SSW,238,-1024,-69
8.6123,OK,204.62,SSW,245,-1027,-73
8.6769,OK,205.30,SSW,245,-1027,-73
8.7417,OK,206.29,SSW,252,-1040,-81
8.8062,OK,207.52,SSW,263,-1047,-72
8.8708,OK,208.39,SSW,263,-1047,-72
8.9353,OK,209.39,SSW,271,-1052,-64
8.9998,OK,210.39,SSW,270,-1067,-69
9.0644,OK,211.09,SSW,270,-1067,-69
9.1289,OK,211.60,SSW,275,-1060,-62
9.1935,OK,211.96,SSW,275,-1060,-62
9.2583,OK,212.43,SSW,268,-1080,-57
9.3231,OK,212.96,SSW,271,-1084,-61
9.3878,OK,213.34,SSW,271,-1084,-61
9.4523,OK,214.01,SW,278,-1090,-59
9.5169,OK,214.49,SW,278,-1090,-59
9.5814,OK,215.29,SW,292,-1089,-56
9.6460,OK,216.37,SW,299,-1099,-52
9.7105,OK,217.12,SW,299,-1099,-52
9.7750,OK,218.36,SW,304,-1118,-61
9.8396,OK,219.35,SW,302,-1124,-55
9.9042,OK,220.04,SW,302,-1124,-55
9.9690,OK,220.98,SW,309,-1131,-55
10.0336,OK,221.63,SW,309,-1131,-55
10.0991,OK,222.32,SW,311,-1136,-59
10.1637,OK,222.46,SW,301,-1136,-53
10.2283,OK,222.55,SW,301,-1136,-53
10.2928,OK,222.94,SW,296,-1151,-45
10.3574,OK,223.52,SW,298,-1158,-56
10.4221,OK,223.93,SW,298,-1158,-56
10.4867,OK,224.78,SW,306,-1166,-40
10.5517,OK,225.37,SW,306,-1166,-40
10.6164,OK,226.00,SW,310,-1168,-30
10.6810,OK,226.94,SW,306,-1185,-38
10.7456,OK,227.60,SW,306,-1185,-38
10.8101,OK,228.63,SW,315,-1192,-36
10.8746,OK,230.03,SW,321,-1204,-24
10.9391,OK,231.02,SW,321,-1204,-24
11.0036,OK,231.85,SW,315,-1212,-33
11.0703,OK,232.43,SW,315,-1212,-33
11.1351,OK,232.96,SW,309,-1219,-37
11.1997,OK,233.55,SW,312,-1222,-29
11.2645,OK,233.97,SW,312,-1222,-29
11.3291,OK,233.83,SW,299,-1222,-27
11.3938,OK,234.79,SW,313,-1235,-29
11.4583,OK,235.46,SW,313,-1235,-29
11.5228,OK,235.47,SW,303,-1232,-21
11.5874,OK,235.48,SW,303,-1232,-21
11.6522,OK,236.02,SW,294,-1249,-24
11.7171,OK,236.68,WSW,303,-1249,-18
11.7817,OK,237.15,WSW,303,-1249,-18
11.8463,OK,238.31,WSW,300,-1267,-24
11.9108,OK,239.49,WSW,294,-1277,-20
11.9754,OK,240.32,WSW,294,-1277,-20
